"Table 2. Per Capita Personal Income by Metropolitan Area, 2016 - 2018",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
,2016,2017,2018,2018,2017,2018,2018
Metropolitan Statistical Areas2,,,,,,,
"New Orleans, LA","48,244","49,799","52,431",90,3.2,5.3,78
"Harrisburg, PA","48,165","49,987","52,354",91,3.8,4.7,149
"Charlotte, NC","47,766","50,043","52,176",92,4.8,4.3,239
"Cedar Rapids, IA","48,848","49,721","52,168",93,1.8,4.9,118
"Cheyenne, WY","48,345","49,746","52,039",94,2.9,4.6,173
"Billings, MT","47,496","49,558","52,019",95,4.3,5,112
"Springfield, MA","48,770","50,057","51,953",96,2.6,3.8,309
"Wichita, KS","46,659","48,818","51,854",97,4.6,6.2,26
"Salt Lake City, UT","47,394","49,048","51,736",98,3.5,5.5,62
"Olympia, WA","47,328","48,820","51,684",99,3.2,5.9,40
"Vallejo, CA","46,999","48,364","51,664",100,2.9,6.8,13
"Crestview, FL","47,828","49,800","51,655",101,4.1,3.7,319
"Green Bay, WI","47,531","49,262","51,553",102,3.6,4.7,164
"Cape Coral, FL","47,574","48,872","51,266",103,2.7,4.9,123
"Rochester, NY","47,091","49,625","51,167",104,5.4,3.1,362
"Columbus, OH","48,006","49,338","51,165",105,2.8,3.7,320
"Appleton, WI","47,730","49,292","51,134",106,3.3,3.7,317
"Birmingham, AL","46,621","48,618","50,979",107,4.3,4.9,130
"Charleston, SC","46,439","48,769","50,958",108,5,4.5,196
"Carson City, NV","45,617","48,065","50,754",109,5.4,5.6,56
"Grand Forks, ND","47,159","48,339","50,670",110,2.5,4.8,135
"Virginia Beach, VA","46,992","48,485","50,619",111,3.2,4.4,208
"Sioux City, IA","47,174","48,058","50,586",112,1.9,5.3,80
"Grand Rapids, MI","46,966","47,989","50,463",113,2.2,5.2,97
"Kingston, NY","46,211","48,508","50,462",114,5,4,279
"Buffalo, NY","46,327","48,879","50,414",115,5.5,3.1,359
"La Crosse, WI","46,389","48,094","50,412",116,3.7,4.8,137
"York, PA","45,971","47,835","50,113",117,4.1,4.8,142
"Louisville, KY","46,456","48,163","50,101",118,3.7,4,280
"Wenatchee, WA","45,838","48,045","50,021",119,4.8,4.1,267
"Reading, PA","45,863","47,412","49,945",120,3.4,5.3,72
"Columbus, IN","46,205","47,987","49,922",121,3.9,4,278
"Lincoln, NE","45,866","47,575","49,886",122,3.7,4.9,129
"Jacksonville, FL","45,572","47,830","49,754",123,5,4,281
"Racine, WI","45,153","47,419","49,749",124,5,4.9,122
"Syracuse, NY","45,393","48,009","49,736",125,5.8,3.6,332
"Rapid City, SD","46,692","47,885","49,681",126,2.6,3.8,313
"Huntsville, AL","46,183","47,442","49,595",127,2.7,4.5,184
"Missoula, MT","44,646","47,086","49,492",128,5.5,5.1,103
"Akron, OH","45,515","47,343","49,423",129,4,4.4,211
"Wausau, WI","45,753","47,260","49,373",130,3.3,4.5,200
"Bloomington, IL","46,727","47,247","49,180",131,1.1,4.1,273
"Gettysburg, PA","45,343","47,020","49,173",132,3.7,4.6,179
"Davenport, IA","45,762","47,295","49,172",133,3.3,4,291
"Dubuque, IA","45,084","46,242","49,085",134,2.6,6.1,28
"Kahului, HI","45,194","47,322","49,040",135,4.7,3.6,329
"Lake Charles, LA","44,556","46,206","49,011",136,3.7,6.1,35
"Wheeling, WV","41,229","45,613","48,881",137,10.6,7.2,10
"Peoria, IL","45,463","45,851","48,870",138,0.9,6.6,18
"Springfield, IL","44,680","46,056","48,793",139,3.1,5.9,37
"Bellingham, WA","45,089","46,719","48,792",140,3.6,4.4,205
"Kalamazoo, MI","45,350","46,675","48,723",141,2.9,4.4,214
"Atlantic City, NJ","45,191","46,549","48,668",142,3,4.6,181
